Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
C3_03_009,6243.884843184691,2291855395,10308.5518030944,1742299883,2774.9582763165204,549555512
C3_03_010,6681.898823279049,2449096330,11083.234396210868,1869664060,2928.881132666781,579432270
C3_03_011,7057.669412087159,2574990685,11680.937935120723,1971450300,3078.1098304220322,603540385
C3_03_012,7439.616611845724,2705104117,12316.599493767157,2072908328,3236.950165381504,632195789
C3_03_013,7863.411400976269,2862588423,13020.256839147962,2206009096,3373.8211140229178,656579327
C3_03_014,8309.816222952368,3027357458,13802.996144954443,2334486935,3549.868958203113,692870523
C3_03_015,8701.149950969486,3167731950,14406.07839219604,2451482360,3694.1218429101186,716249590
C3_03_016,9111.4123174054,3307725125,15015.723724395224,2551757074,3915.0666573446856,755968051
C3_03_017,9455.725331607893,3419634699,15487.162098309786,2635233554,4096.282044586952,784401145
C3_03_018,9815.47232307033,3549814643,15965.767755465473,2725484282,4317.063693066662,824330361
C3_03_019,10194.290152115966,3701995303,16586.54273606687,2837708664,4500.110065136234,864286639
C3_03_020,10599.026340093124,3856116565,17256.794156489217,2953155184,4686.131886780702,902961381
C3_03_021,10919.528534060246,3965754373,17644.567164179105,3024031788,4910.073229610936,941722585
C3_03_022,11492.207697570706,4182393624,18637.55898174104,3197962833,5118.020603495784,984430791
C3_03_023,11723.964170918716,4296715629,18902.54774887778,3255075430,5361.347897697736,1041640199
C3_03_024,12229.567819206944,4485609803,19700.043841202343,3381808026,5657.069670303763,1103801777
C3_03_025,12606.81993711069,4626627276,20142.87449144352,3480547712,5901.512165230869,1146079564
C3_03_026,13106.076809986282,4796063960,20859.003587371062,3593401407,6209.822601215464,1202662553
C3_03_027,13597.009741544727,4981522862,21469.141861616965,3727772978,6505.045186395829,1253749884
C3_03_028,14156.451941977533,5199749737,22366.430285332503,3883304359,6796.872111274034,1316445378
C3_03_029,14559.58778447222,5347780272,22860.574736176208,3975111038,7096.905324220083,1372669234
C3_03_030,15011.236572205626,5497385035,23454.727254882717,4062663672,7433.596865366182,1434721363
C3_03_031,15557.355764877851,5704664556,24174.156418969338,4211573183,7757.608397240061,1493091373
